Title,Year,Rated,Released,Runtime,Genre,Language,Awards,imdbRating,imdbVotes,imdbID,Type,Production,Budget,Revenue,ROI%
The Assassination of Jesse James by the Coward Robert Ford,2007,R,19 Oct 2007,160,"Biography, Crime, Drama, History, Western","English, Danish",Nominated for 2 Oscars. Another 25 wins & 67 nominations.,7.5,"164,638",tt0443680,movie,Warner Bros. Pictures,30000000,14711793,-50.96
An American Haunting,2005,PG-13,05 May 2006,83,"Drama, History, Horror, Mystery, Thriller",English,5 nominations.,5.1,"24,335",tt0429573,movie,Freestyle Releasing,14000000,29612137,111.52
Cop Out,2010,R,26 Feb 2010,107,"Action, Comedy, Crime, Thriller","English, Spanish",1 nomination.,5.6,"84,333",tt1385867,movie,Warner Bros. Pictures,30000000,55583804,85.28
Blade,1998,R,21 Aug 1998,120,"Action, Horror, Sci-Fi","English, Russian, Serbian",5 wins & 10 nominations.,7.1,"238,183",tt0120611,movie,New Line Cinema,45000000,131183530,191.52
The In Crowd,2000,PG-13,19 Jul 2000,105,"Drama, Mystery, Thriller",English,,4.7,"4,210",tt0163676,movie,Warner Home Video,15000000,5217498,-65.22
Renaissance Man,1994,PG-13,03 Jun 1994,128,"Comedy, Drama",English,,6.2,"16,359",tt0110971,movie,Buena Vista,40000000,24332324,-39.17
Oscar,1991,PG,26 Apr 1991,109,"Comedy, Crime","English, Italian",3 nominations.,6.5,"29,039",tt0102603,movie,Touchstone Pictures,35000000,23562716,-32.68
Widows,2018,R,16 Nov 2018,129,"Crime, Drama, Thriller","English, Spanish, Polish",Nominated for 1 BAFTA Film Award. Another 19 wins & 94 nominations.,6.9,"80,875",tt4218572,movie,20th Century Fox,42000000,73866088,75.87
Woodlawn,2015,PG,16 Oct 2015,123,"Drama, Sport",English,4 nominations.,6.5,"6,456",tt4183692,movie,Pure Flix Entertainment,12000000,14394097,19.95
The Arrival,1996,PG-13,31 May 1996,115,"Sci-Fi, Thriller",English,1 win & 1 nomination.,6.3,"30,802",tt0115571,movie,Orion Pictures Corporation,25000000,14063331,-43.75
Waltzing Anna,2006,PG-13,11 Aug 2006,101,Comedy,English,,5.1,164,tt0431461,movie,Kindred Media Group,1000000,11455,-98.85
Anonymous,2011,PG-13,28 Oct 2011,130,"Drama, Thriller","English, French, Italian, Greek,  Ancient (to 1453)",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,6.9,"38,807",tt1521197,movie,Sony Pictures,30000000,15395087,-48.68
Seven Psychopaths,2012,R,12 Oct 2012,110,"Comedy, Crime","English, Vietnamese",3 wins & 21 nominations.,7.2,"234,352",tt1931533,movie,CBS Films,15000000,33035736,120.24
Blow,2001,R,06 Apr 2001,124,"Biography, Crime, Drama",English,3 wins & 9 nominations.,7.6,"235,080",tt0221027,movie,New Line Cinema,53000000,83282296,57.14
Boogeyman,2005,PG-13,04 Feb 2005,89,"Drama, Horror, Mystery, Thriller",English,,4.2,"29,241",tt0357507,movie,Screen Gems,20000000,67192859,235.96
The Rapture,1991,R,04 Oct 1991,100,"Drama, Mystery",English,4 nominations.,6.2,"4,787",tt0102757,movie,Sony Pictures Home Entertainment,1227401,1277401,4.07
Almost an Angel,1990,PG,19 Dec 1990,95,"Comedy, Drama",English,,5.6,"3,886",tt0099018,movie,Paramount Home Video,25000000,6939946,-72.24
Get Out,2017,R,24 Feb 2017,104,"Horror, Mystery, Thriller",English,Won 1 Oscar. Another 152 wins & 201 nominations.,7.7,"463,872",tt5052448,movie,Universal Pictures,4500000,255407969,5575.73
Picture Perfect,1997,PG-13,01 Aug 1997,101,"Comedy, Drama, Romance",English,,5.5,"18,495",tt0119896,movie,Twentieth Century Fox Home Entertainment,19000000,44332015,133.33
The Pebble and the Penguin,1995,G,12 Apr 1995,74,"Animation, Adventure, Comedy, Family, Musical",English,1 nomination.,5.6,"4,383",tt0114108,movie,MGM,28000000,3983912,-85.77
A Bronx Tale,1993,R,01 Oct 1993,121,"Crime, Drama, Romance","English, Italian",1 win & 2 nominations.,7.8,"123,533",tt0106489,movie,HBO Video,10000000,17287898,72.88
Seed of Chucky,2004,R,12 Nov 2004,87,"Comedy, Fantasy, Horror, Thriller","English, Japanese",1 win & 6 nominations.,4.8,"37,313",tt0387575,movie,Focus Features,12000000,24829644,106.91
Our Brand Is Crisis,2015,R,30 Oct 2015,107,"Comedy, Drama","English, Spanish",2 nominations.,6.1,"19,992",tt1018765,movie,Warner Bros. Pictures,28000000,7002261,-74.99
The Girl in the Spider's Web,2018,R,09 Nov 2018,115,"Action, Crime, Drama, Thriller",English,1 win & 6 nominations.,6.1,"37,576",tt5177088,movie,Columbia Pictures,43000000,17894345,-58.39
The Company,2003,PG-13,20 May 2004,112,"Drama, Music, Romance",English,2 nominations.,6.3,"6,119",tt0335013,movie,Sony Pictures Classics,15000000,2281585,-84.79
Crossing Over,2009,R,26 Feb 2009,113,"Crime, Drama","English, Korean, Persian, Spanish, Arabic",1 win.,6.7,"22,400",tt0924129,movie,The Weinstein Co.,25000000,1037335,-95.85
The Descendants,2011,R,09 Dec 2011,115,"Comedy, Drama",English,Won 1 Oscar. Another 65 wins & 146 nominations.,7.3,"229,150",tt1033575,movie,Fox Searchlight Pictures,20000000,177243185,786.22
Beerfest,2006,R,25 Aug 2006,110,Comedy,"English, German",1 win & 3 nominations.,6.3,"62,935",tt0486551,movie,Warner Bros. Pictures,17500000,19179969,9.6
Hudson Hawk,1991,R,24 May 1991,100,"Action, Adventure, Comedy","English, Italian",3 wins & 5 nominations.,5.8,"50,686",tt0102070,movie,TriStar Pictures,65000000,17218080,-73.51
Mirror Mirror,2012,PG,30 Mar 2012,106,"Adventure, Comedy, Drama, Family, Fantasy",English,Nominated for 1 Oscar. Another 2 wins & 8 nominations.,5.6,"82,377",tt1667353,movie,Relativity Media,85000000,183018522,115.32
Jingle All the Way,1996,PG,22 Nov 1996,89,"Comedy, Family",English,2 wins & 4 nominations.,5.6,"88,867",tt0116705,movie,20th Century Fox,60000000,129832389,116.39
Happily N'Ever After,2006,PG,05 Jan 2007,87,"Animation, Adventure, Comedy, Family, Fantasy",English,1 nomination.,4.5,"9,917",tt0308353,movie,Lionsgate,47000000,38085778,-18.97
No Escape,2015,R,26 Aug 2015,103,"Action, Thriller","English, French, Thai, Khmer",2 wins & 1 nomination.,6.8,"75,739",tt1781922,movie,The Weinstein Company,5000000,54418872,988.38
The Wicker Man,2006,PG-13,01 Sep 2006,102,"Horror, Mystery, Thriller",English,2 wins & 7 nominations.,3.7,"62,883",tt0450345,movie,Unknown,40000000,38755073,-3.11
Chill Factor,1999,R,01 Sep 1999,102,"Action, Adventure, Comedy, Drama, Thriller",English,1 nomination.,5.2,"9,072",tt0163579,movie,Warner Bros. Pictures,70000000,11263966,-83.91
Suspiria,2018,R,02 Nov 2018,152,"Fantasy, Horror, Mystery, Thriller","English, German, French, Russian",25 wins & 67 nominations.,6.8,"55,402",tt1034415,movie,Amazon Studios,20000000,6348889,-68.26
Hoop Dreams,1994,PG-13,14 Oct 1994,170,"Documentary, Drama, Sport",English,Nominated for 1 Oscar. Another 22 wins & 8 nominations.,8.3,"23,734",tt0110057,movie,Fine Line Features,700000,7830611,1018.66
Welcome to the Punch,2013,R,15 Mar 2013,99,"Action, Crime, Thriller",English,2 wins.,6.1,"31,467",tt1684233,movie,IFC Films,8500000,9747,-99.89
Child's Play 2,1990,R,09 Nov 1990,84,"Horror, Thriller",English,1 win.,5.8,"43,108",tt0099253,movie,MCA Universal Home Video,13000000,35763605,175.1
Zoolander,2001,PG-13,28 Sep 2001,90,Comedy,English,1 win & 11 nominations.,6.5,"241,059",tt0196229,movie,Paramount Pictures,28000000,60780981,117.07
Lovelace,2013,R,08 Aug 2013,93,"Biography, Drama",English,1 win & 3 nominations.,6.2,"37,653",tt1426329,movie,Radius-TWC,10000000,1585582,-84.14
The Kids Are All Right,2010,R,30 Jul 2010,106,"Comedy, Drama, Romance",English,Nominated for 4 Oscars. Another 29 wins & 129 nominations.,7.0,"123,657",tt0842926,movie,Focus Features,3500000,34705850,891.6
The Opposite of Sex,1997,R,22 May 1998,105,Comedy,English,Nominated for 1 Golden Globe. Another 14 wins & 23 nominations.,6.3,"19,652",tt0120777,movie,Sony Pictures Classics,5000000,5879254,17.59
Star Trek: First Contact,1996,PG-13,22 Nov 1996,111,"Action, Adventure, Drama, Sci-Fi, Thriller",English,Nominated for 1 Oscar. Another 8 wins & 20 nominations.,7.6,"115,453",tt0117731,movie,Paramount Pictures,46000000,150000000,226.09
Constantine,2005,R,18 Feb 2005,121,"Action, Fantasy, Horror, Mystery","English, Filipino, Tagalog",2 wins & 10 nominations.,7.0,"296,249",tt0360486,movie,Warner Bros. Pictures,100000000,230884728,130.88
Loose Cannons,1990,R,09 Feb 1990,94,"Action, Comedy, Crime, Thriller",English,,4.9,"4,332",tt0100053,movie,TriStar Pictures,1500000,5585154,272.34
The New World,2005,PG-13,20 Jan 2006,135,"Biography, Drama, History, Romance","English, Algonquin, Inuktitut",Nominated for 1 Oscar. Another 6 wins & 32 nominations.,6.7,"81,449",tt0402399,movie,New Line Cinema,30000000,30536013,1.79
Shrek Forever After,2010,PG,21 May 2010,93,"Animation, Adventure, Comedy, Family, Fantasy, Romance",English,1 win & 13 nominations.,6.3,"179,020",tt0892791,movie,Paramount,165000000,752600867,356.12
Tinker Tailor Soldier Spy,2011,R,06 Jan 2012,122,"Drama, Mystery, Thriller","English, Russian, Hungarian, French, Turkish",Nominated for 3 Oscars. Another 35 wins & 96 nominations.,7.1,"182,286",tt1340800,movie,Focus Features,30000000,80630608,168.77
Simon Birch,1998,PG,11 Sep 1998,114,"Comedy, Drama, Family",English,3 wins & 3 nominations.,6.9,"20,117",tt0124879,movie,Buena Vista,20000000,18253415,-8.73
Dark Tide,2012,PG-13,12 Apr 2012,94,"Action, Adventure, Drama, Horror, Thriller",English,,4.3,"8,039",tt1507563,movie,Wrekin Hill,25000000,432274,-98.27
Beyond a Reasonable Doubt,2009,PG-13,10 Jul 2009,106,"Crime, Drama, Mystery, Thriller",English,,5.9,"12,035",tt1183251,movie,Anchor Bay Films,25000000,4388563,-82.45
Veronica Mars,2014,PG-13,13 Mar 2014,107,"Crime, Drama, Mystery, Thriller",English,6 nominations.,6.8,"49,514",tt2771372,movie,Warner Bros.,6000000,3485127,-41.91
Notting Hill,1999,PG-13,28 May 1999,124,"Comedy, Drama, Romance","English, Spanish",Nominated for 3 Golden Globes. Another 11 wins & 14 nominations.,7.1,"262,806",tt0125439,movie,Universal Pictures,42000000,363889678,766.4
Tequila Body Shots,1999,R,08 Aug 2006,97,"Comedy, Horror, Thriller",English,,3.7,318,tt0144637,movie,Trimark,1700000,9037000,431.59
The Sorcerer's Apprentice,2010,PG,14 Jul 2010,109,"Action, Adventure, Family, Fantasy","English, Cantonese, Ukrainian",1 win & 1 nomination.,6.1,"149,742",tt0963966,movie,Walt Disney Studios,150000000,215283742,43.52
Batman v Superman: Dawn of Justice,2016,PG-13,25 Mar 2016,151,"Action, Adventure, Sci-Fi",English,14 wins & 33 nominations.,6.5,"607,361",tt2975590,movie,Warner Bros. Pictures,250000000,873634919,249.45
The Incredible Hulk,2008,PG-13,13 Jun 2008,112,"Action, Adventure, Sci-Fi","English, Portuguese, Spanish",1 win & 8 nominations.,6.7,"423,779",tt0800080,movie,Universal Pictures,150000000,163712074,9.14
Halloween,2018,R,19 Oct 2018,106,"Horror, Thriller",English,3 wins & 24 nominations.,6.6,"110,459",tt1502407,movie,Universal Pictures,10000000,253688035,2436.88
The Longest Yard,2005,PG-13,27 May 2005,113,"Comedy, Crime, Sport",English,2 wins & 17 nominations.,6.4,"157,850",tt0398165,movie,Paramount Pictures,82000000,190320568,132.1
The Whole Nine Yards,2000,R,18 Feb 2000,98,"Comedy, Crime","English, French, Spanish",6 nominations.,6.7,"107,742",tt0190138,movie,Warner Home Video,41300000,106371651,157.56
Maze Runner: The Death Cure,2018,PG-13,26 Jan 2018,143,"Action, Adventure, Sci-Fi, Thriller",English,6 nominations.,6.2,"105,402",tt4500922,movie,20th Century Fox,62000000,288175335,364.8
The Losers,2010,PG-13,23 Apr 2010,97,"Action, Adventure, Crime, Mystery, Thriller",English,1 win & 7 nominations.,6.3,"88,865",tt0480255,movie,Warner Bros. Pictures,25000000,23580000,-5.68
The Horse Whisperer,1998,PG-13,15 May 1998,169,"Drama, Romance, Western",English,Nominated for 1 Oscar. Another 4 wins & 18 nominations.,6.6,"38,203",tt0119314,movie,Buena Vista Pictures,60000000,186883563,211.47
Hard to Kill,1990,R,09 Feb 1990,96,"Action, Crime, Drama, Thriller",English,,5.8,"26,659",tt0099739,movie,Warner Home Video,10000000,47410000,374.1
Into the Blue,2005,PG-13,30 Sep 2005,110,"Action, Adventure, Crime, Thriller",English,1 win & 2 nominations.,5.9,"72,444",tt0378109,movie,Sony Pictures,50000000,44434439,-11.13
Dancer in the Dark,2000,R,06 Oct 2000,140,"Crime, Drama, Musical","English, German, Czech",Nominated for 1 Oscar. Another 35 wins & 47 nominations.,8.0,"99,402",tt0168629,movie,Fine Line Features,12800000,40031879,212.75
Finding Nemo,2003,G,30 May 2003,100,"Animation, Adventure, Comedy, Family",English,Won 1 Oscar. Another 48 wins & 62 nominations.,8.1,"920,858",tt0266543,movie,Walt Disney Pictures,94000000,940335536,900.36
Shall We Dance,2004,PG-13,15 Oct 2004,106,"Comedy, Drama, Music, Romance",English,7 nominations.,6.1,"42,591",tt0358135,movie,Miramax Films,50000000,170128460,240.26
Final Destination 3,2006,R,10 Feb 2006,93,"Fantasy, Horror, Thriller",English,6 nominations.,5.8,"127,280",tt0414982,movie,New Line Cinema,25000000,117719158,370.88
Like Dandelion Dust,2009,PG-13,24 Sep 2010,100,Drama,English,19 wins.,7.0,"2,660",tt0981042,movie,Blue Collar Releasing,2500000,352810,-85.89
Not Another Teen Movie,2001,R,14 Dec 2001,89,Comedy,English,5 nominations.,5.7,"94,713",tt0277371,movie,Columbia Pictures,16000000,66468332,315.43
The Specialist,1994,R,07 Oct 1994,110,"Action, Drama, Thriller",English,4 wins & 7 nominations.,5.6,"61,076",tt0111255,movie,Warner Home Video,45000000,170362582,278.58
World's Greatest Dad,2009,R,24 Sep 2010,99,"Comedy, Drama",English,1 nomination.,6.9,"36,540",tt1262981,movie,Magnolia Pictures,10000000,295750,-97.04
Sex and the City,2008,R,30 May 2008,145,"Comedy, Drama, Romance",English,2 wins & 12 nominations.,5.6,"113,892",tt1000774,movie,Warner Bros. Pictures,65000000,415252786,538.85
The Jackal,1997,R,14 Nov 1997,124,"Action, Crime, Drama, Thriller","English, Russian",1 win & 4 nominations.,6.4,"104,152",tt0119395,movie,Universal Pictures,60000000,159330280,165.55
Richard Jewell,2019,R,13 Dec 2019,131,"Biography, Crime, Drama",English,Nominated for 1 Oscar. Another 6 wins & 11 nominations.,7.5,"40,846",tt3513548,movie,Unknown,45000000,33904605,-24.66
The Day the Earth Stood Still,2008,PG-13,12 Dec 2008,104,"Drama, Sci-Fi, Thriller","English, Mandarin",2 wins & 5 nominations.,5.5,"160,461",tt0970416,movie,20th Century Fox,80000000,233093859,191.37
Chronicle,2012,PG-13,03 Feb 2012,84,"Drama, Sci-Fi, Thriller",English,2 wins & 7 nominations.,7.0,"236,421",tt1706593,movie,20th Century Fox,15000000,145000000,866.67
Jackie Brown,1997,R,25 Dec 1997,154,"Crime, Drama, Thriller",English,Nominated for 1 Oscar. Another 8 wins & 22 nominations.,7.5,"306,026",tt0119396,movie,Miramax Films,12000000,39673162,230.61
The Lighthouse,2019,R,01 Nov 2019,109,"Drama, Fantasy, Horror, Mystery",English,Nominated for 1 Oscar. Another 29 wins & 114 nominations.,7.6,"111,434",tt7984734,movie,A24,4000000,17964238,349.11
John Tucker Must Die,2006,PG-13,28 Jul 2006,89,"Comedy, Romance","English, Japanese",2 wins & 2 nominations.,5.8,"78,130",tt0455967,movie,20th Century Fox,18000000,41009669,127.83
Club Dread,2004,R,27 Feb 2004,104,"Comedy, Horror, Mystery, Thriller",English,,5.7,"27,745",tt0331953,movie,Fox Searchlight Pictures,8500000,5001655,-41.16
Run All Night,2015,R,13 Mar 2015,114,"Action, Crime, Drama, Thriller",English,,6.6,"99,171",tt2199571,movie,Warner Bros.,50000000,71561644,43.12
Lee Daniels' The Butler,2013,PG-13,16 Aug 2013,132,"Biography, Drama",English,Nominated for 2 BAFTA Film Awards. Another 17 wins & 51 nominations.,7.2,"106,198",tt1327773,movie,The Weinstein Company,25000000,115922175,363.69
Hellraiser: Bloodline,1996,R,08 Mar 1996,85,"Horror, Sci-Fi",English,1 win & 2 nominations.,5.2,"18,679",tt0116514,movie,Miramax Films,4000000,16675000,316.88
Marriage Story,2019,R,06 Dec 2019,137,"Comedy, Drama, Romance","English, Spanish",Won 1 Oscar. Another 122 wins & 246 nominations.,8.0,"218,068",tt7653254,movie,Netflix,19000000,2300000,-87.89
BloodRayne,2005,R,06 Jan 2006,95,"Action, Adventure, Fantasy, Horror",English,4 wins & 11 nominations.,2.9,"33,574",tt0383222,movie,Fantastic Films International,25000000,2405420,-90.38
The Swan Princess,1994,G,18 Nov 1994,90,"Animation, Comedy, Family, Fantasy, Musical, Romance",English,Nominated for 1 Golden Globe. Another 1 win & 7 nominations.,6.4,"22,003",tt0111333,movie,New Line Cinema,20000000,9771658,-51.14
Fahrenheit 9/11,2004,R,25 Jun 2004,122,"Documentary, Drama, War","English, Arabic",29 wins & 16 nominations.,7.5,"124,872",tt0361596,movie,Lionsgate,6000000,119114517,1885.24
Pariah,2011,R,20 Jan 2011,86,Drama,English,14 wins & 29 nominations.,7.2,"5,780",tt1233334,movie,Focus Features,500000,769552,53.91
Scott Pilgrim vs. the World,2010,PG-13,13 Aug 2010,112,"Action, Comedy, Fantasy, Romance",English,17 wins & 64 nominations.,7.5,"364,263",tt0446029,movie,Universal Pictures,60000000,47664559,-20.56
Scream 4,2011,R,15 Apr 2011,111,"Horror, Mystery",English,1 win & 6 nominations.,6.1,"124,005",tt1262416,movie,The Weinstein Company/Dimension,40000000,97138686,142.85
Jupiter Ascending,2015,PG-13,06 Feb 2015,127,"Action, Adventure, Sci-Fi","English, Russian",4 wins & 16 nominations.,5.3,"174,371",tt1617661,movie,Warner Bros. Pictures,176000003,183987723,4.54
Mighty Aphrodite,1995,R,10 Nov 1995,95,"Comedy, Fantasy, Romance","English, Latin",Won 1 Oscar. Another 11 wins & 13 nominations.,7.0,"37,082",tt0113819,movie,Miramax Films,15000000,6700000,-55.33
Presumed Innocent,1990,R,27 Jul 1990,127,"Mystery, Thriller",English,1 win & 2 nominations.,6.9,"36,351",tt0100404,movie,Warner Bros.,22000000,221303188,905.92
Big Eyes,2014,PG-13,25 Dec 2014,106,"Biography, Crime, Drama, Romance","English, French, Italian",Won 1 Golden Globe. Another 2 wins & 18 nominations.,7.0,"82,916",tt1126590,movie,The Weinstein Company,10000000,28883511,188.84
Connie and Carla,2004,PG-13,16 Apr 2004,98,"Comedy, Crime, Music",English,1 win.,6.3,"7,785",tt0345074,movie,Universal Pictures,20000000,11341016,-43.29
Mary Jane's Not a Virgin Anymore,1998,,22 Mar 1998,98,"Drama, Romance",English,,6.4,117,tt0117001,movie,Unknown,50000,27,-99.95
Airborne,1993,PG,17 Sep 1993,91,"Adventure, Comedy, Sport",English,,6.3,"6,106",tt0106233,movie,Warner Bros.,2600000,2850263,9.63
Earth to Echo,2014,PG,02 Jul 2014,91,"Adventure, Family, Sci-Fi",English,2 wins & 1 nomination.,5.8,"18,013",tt2183034,movie,Relativity Media,13000000,45300000,248.46
Baby Mama,2008,PG-13,25 Apr 2008,99,"Comedy, Romance",English,1 win & 5 nominations.,6.0,"41,082",tt0871426,movie,Universal Pictures,30000000,63833449,112.78
The Girl on the Train,2016,R,07 Oct 2016,112,"Crime, Drama, Mystery, Thriller","English, Spanish",Nominated for 1 BAFTA Film Award. Another 4 wins & 11 nominations.,6.5,"163,575",tt3631112,movie,Universal Pictures,45000000,173185859,284.86
Serenity,2019,R,25 Jan 2019,106,"Drama, Mystery, Thriller","English, French",3 wins & 5 nominations.,5.3,"32,520",tt6476140,movie,Aviron Pictures,25000000,14454622,-42.18
The Beach,2000,R,11 Feb 2000,119,"Adventure, Drama, Romance, Thriller","English, French, Swedish, Thai, Serbian",7 nominations.,6.7,"218,068",tt0163978,movie,20th Century Fox,40000000,144056873,260.14
Hardball,2001,PG-13,14 Sep 2001,106,"Drama, Sport","English, German",2 nominations.,6.4,"27,589",tt0180734,movie,Paramount Pictures,32000000,40222729,25.7
Wanderlust,2012,R,24 Feb 2012,98,"Comedy, Romance","English, Swedish, Italian, Portuguese, French",1 win.,5.6,"71,202",tt1655460,movie,Universal Pictures,35000000,24159934,-30.97
The End of Poverty?,2008,Unrated,16 Dec 2009,106,Documentary,"English, French, Portuguese, Spanish",,7.4,419,tt0903943,movie,Cinema Libre,1000000,57,-99.99
"Welcome Home, Roscoe Jenkins",2008,PG-13,08 Feb 2008,114,"Comedy, Romance",English,,5.5,"12,964",tt0494652,movie,Universal Pictures,35000000,43650785,24.72
Heat,1995,R,15 Dec 1995,170,"Crime, Drama, Thriller","English, Spanish",14 nominations.,8.2,"557,580",tt0113277,movie,Warner Bros.,60000000,187436818,212.39
The Birth of a Nation,2016,R,07 Oct 2016,120,"Biography, Drama, History",English,4 wins & 27 nominations.,6.4,"19,509",tt4196450,movie,Fox Searchlight Pictures,8500000,15861566,86.61
Silent Fall,1994,R,28 Oct 1994,101,"Drama, Mystery, Thriller",English,1 nomination.,6.0,"3,505",tt0111187,movie,Warner Home Video,30000000,3180674,-89.4
The Post,2017,PG-13,12 Jan 2018,116,"Drama, Thriller",English,Nominated for 2 Oscars. Another 19 wins & 112 nominations.,7.2,"127,267",tt6294822,movie,20th Century Fox,50000000,174503458,249.01
Captain Marvel,2019,PG-13,08 Mar 2019,123,"Action, Adventure, Sci-Fi",English,7 wins & 46 nominations.,6.9,"415,973",tt4154664,movie,Marvel Studios,152000000,1128274794,642.29
Book Club,2018,PG-13,18 May 2018,104,"Comedy, Drama, Romance","English, Hungarian",2 wins & 3 nominations.,6.1,"23,666",tt6857166,movie,Paramount Pictures,10000000,78720293,687.2
The Crazies,2010,R,26 Feb 2010,101,"Horror, Thriller",English,11 nominations.,6.5,"109,322",tt0455407,movie,Overture Films,20000000,54956140,174.78
I Saw the Light,2015,R,01 Apr 2016,123,"Biography, Drama, Music, Romance",English,,5.7,"6,097",tt1490785,movie,Unknown,13000000,1646788,-87.33
Choke,2008,R,26 Sep 2008,92,"Comedy, Drama",English,2 wins & 7 nominations.,6.4,"31,058",tt1024715,movie,Fox Searchlight,3000000,3830137,27.67
Transporter 2,2005,PG-13,02 Sep 2005,87,"Action, Thriller","English, French, Italian",,6.3,"187,792",tt0388482,movie,Unknown,32000000,85167639,166.15
Bride of Chucky,1998,R,16 Oct 1998,89,"Comedy, Horror",English,5 wins & 7 nominations.,5.4,"50,735",tt0144120,movie,Universal Studios,25000000,50671850,102.69
Joe's Apartment,1996,PG-13,26 Jul 1996,80,"Comedy, Fantasy, Musical, Sci-Fi","English, Spanish",2 wins.,5.5,"12,319",tt0116707,movie,Warner Home Video,13000000,4619014,-64.47
Decoding Annie Parker,2013,R,02 May 2014,91,Drama,English,4 wins & 7 nominations.,6.2,"2,873",tt1464191,movie,Entertainment One,2000000,48390,-97.58
Man on a Ledge,2012,PG-13,27 Jan 2012,102,"Action, Adventure, Crime, Thriller","English, Spanish",1 nomination.,6.6,"142,726",tt1568338,movie,Summit Entertainment,42000000,46221189,10.05
Faithful,1996,R,03 Apr 1996,91,"Comedy, Crime, Drama",English,1 nomination.,5.9,"1,895",tt0116269,movie,New Line Home Entertainment,13000000,9789900,-24.69
The Sum of All Fears,2002,PG-13,31 May 2002,124,"Action, Drama, Thriller, War","English, Russian, Ukrainian, German, Arabic",2 wins & 5 nominations.,6.4,"100,718",tt0164184,movie,Paramount Pictures,68000000,193921372,185.18
Diary of the Dead,2007,R,22 Feb 2008,95,"Fantasy, Horror, Sci-Fi, Thriller",English,1 win & 1 nomination.,5.6,"45,293",tt0848557,movie,The Weinstein Company,2000000,5364858,168.24
Cloverfield,2008,PG-13,18 Jan 2008,85,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller","English, Russian",5 wins & 30 nominations.,7.0,"365,691",tt1060277,movie,Paramount,25000000,170764026,583.06
Nerve,2016,PG-13,27 Jul 2016,96,"Adventure, Crime, Drama, Mystery, Thriller",English,5 nominations.,6.5,"111,213",tt3531824,movie,Keep Your Head,19000000,85241496,348.64
Walk Hard: The Dewey Cox Story,2007,R,21 Dec 2007,96,"Comedy, Drama, Music",English,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,6.8,"65,673",tt0841046,movie,Sony Pictures/Columbia,35000000,18317151,-47.67
Harry Potter and the Sorcerer's Stone,2001,PG,16 Nov 2001,152,"Adventure, Family, Fantasy",English,Nominated for 3 Oscars. Another 17 wins & 65 nominations.,7.6,"617,385",tt0241527,movie,Warner Bros. Pictures,125000000,976475550,681.18
Spy Game,2001,R,21 Nov 2001,126,"Action, Crime, Thriller","English, German, Arabic, French, Cantonese",3 nominations.,7.1,"141,841",tt0266987,movie,Universal Pictures,115000000,143049560,24.39
The X Files: I Want to Believe,2008,PG-13,25 Jul 2008,104,"Crime, Drama, Horror, Mystery, Sci-Fi, Thriller","English, Russian, Czech",,5.9,"87,573",tt0443701,movie,20th Century Fox,30000000,68369434,127.9
Blood Done Sign My Name,2010,PG-13,19 Feb 2010,128,Drama,English,1 win.,6.6,507,tt1210039,movie,Paladin,10000000,82739,-99.17
Catfish,2010,PG-13,01 Oct 2010,87,"Documentary, Drama, Mystery, Thriller",English,2 wins & 7 nominations.,7.1,"39,522",tt1584016,movie,Universal Pictures/Rogue,30000,3045943,10053.14
Max,2015,PG,26 Jun 2015,111,"Adventure, Drama, Family, War",English,1 nomination.,6.7,"25,220",tt3369806,movie,Warner Bros. Pictures,20000000,43967255,119.84
Endless Love,2014,PG-13,14 Feb 2014,104,"Drama, Romance",English,1 win.,6.3,"39,615",tt2318092,movie,Universal Pictures,20000000,34077920,70.39
War Room,2015,PG,28 Aug 2015,120,Drama,English,5 wins.,6.5,"12,777",tt3832914,movie,Sony Pictures,3000000,67790117,2159.67
The Theory of Everything,2014,PG-13,26 Nov 2014,123,"Biography, Drama, Romance","English, French",Won 1 Oscar. Another 24 wins & 123 nominations.,7.7,"386,687",tt2980516,movie,Focus Features,15000000,123726688,724.84
Flipped,2010,PG,10 Sep 2010,90,"Comedy, Drama, Romance",English,2 wins & 2 nominations.,7.7,"79,106",tt0817177,movie,Warner Bros. Pictures,14000000,1755212,-87.46
Barnyard,2006,PG,04 Aug 2006,90,"Animation, Adventure, Comedy, Drama, Family",English,3 nominations.,5.5,"26,723",tt0414853,movie,Paramount Pictures,51000000,116476887,128.39
Sleeping with the Enemy,1991,R,08 Feb 1991,99,"Drama, Thriller",English,2 wins & 4 nominations.,6.3,"48,274",tt0102945,movie,Twentieth Century Fox Home Entertainment,19000000,174999005,821.05
See No Evil,2006,R,19 May 2006,84,"Action, Horror, Thriller",English,,5.1,"25,273",tt0437179,movie,Lionsgate Films,8000000,18564467,132.06
X-Men: Days of Future Past,2014,PG-13,23 May 2014,132,"Action, Adventure, Sci-Fi, Thriller","English, Vietnamese, French",Nominated for 1 Oscar. Another 16 wins & 47 nominations.,8.0,"647,269",tt1877832,movie,20th Century Fox,250000000,747862775,199.15
Wild,2014,R,19 Dec 2014,115,"Biography, Drama",English,Nominated for 2 Oscars. Another 11 wins & 67 nominations.,7.1,"116,848",tt2305051,movie,20th Century Fox,15000000,52501541,250.01
