Title,Year,Rated,Released,Runtime,Genre,Language,Awards,imdbRating,imdbVotes,imdbID,Type,Production,Budget,Revenue,ROI%
I Feel Pretty,2018,PG-13,20 Apr 2018,110,"Comedy, Romance",English,1 win & 5 nominations.,5.5,"45,963",tt6791096,movie,STX Entertainment,32000000,51748264,61.71
Timeline,2003,PG-13,26 Nov 2003,116,"Action, Adventure, Sci-Fi, War","English, French",,5.7,"59,296",tt0300556,movie,Paramount Pictures,80000000,43935763,-45.08
Gothika,2003,R,21 Nov 2003,98,"Horror, Mystery, Thriller",English,3 wins & 7 nominations.,5.8,"104,043",tt0348836,movie,Warner Bros. Pictures,40000000,141591324,253.98
Predestination,2014,R,09 Jan 2015,97,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",English,12 wins & 19 nominations.,7.5,"242,417",tt2397535,movie,Sony Pictures,5500000,4824499,-12.28
Night at the Museum: Secret of the Tomb,2014,PG,19 Dec 2014,98,"Adventure, Comedy, Family, Fantasy",English,1 win & 4 nominations.,6.2,"102,146",tt2692250,movie,20th Century Fox,127000000,363204635,185.99
The Santa Clause 3: The Escape Clause,2006,G,03 Nov 2006,97,"Adventure, Comedy, Family, Fantasy",English,4 wins & 9 nominations.,4.7,"31,478",tt0452681,movie,Buena Vista,12000000,84500122,604.17
This Is It,2009,PG,28 Oct 2009,111,"Documentary, Drama, Music",English,7 wins & 9 nominations.,7.2,"37,922",tt1477715,movie,Sony Pictures/Columbia Pictures,60000000,261200000,335.33
Mirrors,2008,R,15 Aug 2008,110,"Horror, Mystery",English,2 nominations.,6.2,"99,967",tt0790686,movie,Buena Vista,35000000,72436439,106.96
The Super,1991,R,04 Oct 1991,95,Comedy,"English, Spanish",1 nomination.,5.7,"5,143",tt0103007,movie,Twentieth Century Fox Home Entertainment,22000000,11000863,-50.0
Wild Bill,1995,R,01 Dec 1995,98,"Action, Biography, Western","English, Sioux, Cantonese",3 nominations.,5.9,"6,186",tt0114938,movie,MGM Home Entertainment,30000000,2193982,-92.69
Harry Potter and the Half-Blood Prince,2009,PG,15 Jul 2009,153,"Action, Adventure, Family, Fantasy, Mystery",English,Nominated for 1 Oscar. Another 8 wins & 35 nominations.,7.6,"453,636",tt0417741,movie,Warner Bros. Pictures,250000000,933959197,273.58
Slumdog Millionaire,2008,R,25 Dec 2008,120,"Drama, Romance","English, Hindi, French, German",Won 8 Oscars. Another 147 wins & 131 nominations.,8.0,"781,199",tt1010048,movie,Fox Searchlight Pictures,15000000,377910544,2419.4
Logan,2010,,10 Sep 2010,94,"Comedy, Drama, Family",English,1 win.,6.0,260,tt1483010,movie,Independent Pictures,135000,10474,-92.24
I Smile Back,2015,R,06 Nov 2015,85,Drama,English,1 win & 7 nominations.,6.1,"4,782",tt3640682,movie,Broad Green Pictures,495000,63373,-87.2
Poison,1991,R,16 Aug 1991,85,"Drama, Horror, Romance, Sci-Fi",English,4 wins & 6 nominations.,6.5,"3,634",tt0102687,movie,Zeitgeist Films,250000,609524,143.81
Rampart,2011,R,24 Feb 2012,108,"Crime, Drama",English,3 wins & 5 nominations.,5.8,"22,534",tt1640548,movie,Millenium Entertainment,12000000,972512,-91.9
Central Intelligence,2016,PG-13,17 Jun 2016,107,"Action, Comedy, Crime",English,2 wins & 8 nominations.,6.3,"153,286",tt1489889,movie,Warner Bros. Pictures,50000000,216972543,333.95
Sherrybaby,2006,R,09 Feb 2007,96,Drama,English,Nominated for 1 Golden Globe. Another 10 wins & 10 nominations.,6.6,"11,251",tt0423169,movie,Unknown,2000000,622806,-68.86
Requiem for a Dream,2000,R,15 Dec 2000,102,Drama,English,Nominated for 1 Oscar. Another 35 wins & 69 nominations.,8.3,"742,193",tt0180093,movie,Artisan Entertainment,4500000,7390108,64.22
Alone with Her,2006,Unrated,04 Jul 2008,78,"Crime, Drama, Thriller","English, Spanish",,6.0,"3,693",tt0472259,movie,IFC First Take,1000000,10018,-99.0
The Extra Man,2010,R,27 Jan 2011,108,Comedy,English,,5.8,"4,718",tt1361313,movie,Magnolia Pictures,7000000,453079,-93.53
London Has Fallen,2016,R,04 Mar 2016,99,"Action, Thriller","English, Italian, French, Japanese",1 win & 2 nominations.,5.9,"139,928",tt3300542,movie,Focus Features,60000000,205754447,242.92
Jumping the Broom,2011,PG-13,06 May 2011,112,"Comedy, Drama",English,3 wins & 13 nominations.,5.7,"9,604",tt1640484,movie,Sony Pictures,6600000,37710610,471.37
Showtime,2002,PG-13,15 Mar 2002,95,"Action, Comedy, Crime",English,1 win & 6 nominations.,5.5,"59,695",tt0284490,movie,Warner Bros. Pictures,85000000,77741732,-8.54
Good Luck Chuck,2007,R,21 Sep 2007,96,"Comedy, Romance",English,1 win & 3 nominations.,5.6,"84,319",tt0452625,movie,Lionsgate Films,25000000,59192128,136.77
What's Your Number?,2011,R,30 Sep 2011,106,"Comedy, Romance",English,1 win.,6.1,"70,847",tt0770703,movie,20th Century Fox,20000000,30426096,52.13
Bandslam,2009,PG,14 Aug 2009,111,"Comedy, Drama, Family, Music, Romance",English,,6.3,"13,486",tt0976222,movie,Summit Entertainment,20000000,12225023,-38.87
We're the Millers,2013,R,07 Aug 2013,110,"Comedy, Crime","English, Spanish",4 wins & 17 nominations.,7.0,"390,999",tt1723121,movie,Warner Bros. Pictures,37000000,269994119,629.71
Battle Los Angeles,2011,PG-13,11 Mar 2011,116,"Action, Sci-Fi","English, Ukrainian",1 win & 4 nominations.,5.7,"172,012",tt1217613,movie,Sony Pictures/Columbia Pictures,70000000,202466756,189.24
Johnny English,2003,PG,18 Jul 2003,87,"Action, Adventure, Comedy","English, French, Japanese",6 nominations.,6.2,"144,108",tt0274166,movie,Universal Pictures,40000000,160583018,301.46
The Messenger: The Story of Joan of Arc,1999,R,12 Nov 1999,148,"Adventure, Biography, Drama, History, War","English, Latin",5 wins & 13 nominations.,6.4,"62,768",tt0151137,movie,Columbia Pictures,85000000,66976317,-21.2
Stronger,2017,R,29 Sep 2017,119,"Biography, Drama",English,2 wins & 8 nominations.,6.9,"38,518",tt3881784,movie,Lionsgate and Roadside Attractions,30000000,8484418,-71.72
The Ghosts of Johnson Woods,2015,,01 Nov 2015,80,"Horror, Thriller",English,,5.0,29,tt4374502,movie,Unknown,60000,3145,-94.76
